"""nodeId""","""centrality"""
1246,189
1267,189
1288,189
1293,189
1300,189
1306,189
1315,189
1337,189
1348,189
1256,3.15
1323,3.15
1242,2.953125
1351,2.9076923076923076
1260,2.7
1304,2.554054054054054
1341,2.554054054054054
1244,2.4545454545454546
1261,2.392405063291139
1243,2.3625
1272,2.2771084337349397
1299,2.223529411764706
1328,2.197674418604651
1330,2.197674418604651
1383,2.197674418604651
1280,2.1724137931034484
1329,2.1724137931034484
1268,2.147727272727273
1377,2.147727272727273
1407,2.1235955056179776
1378,2.1
1254,2.076923076923077
1274,2.076923076923077
1319,2.076923076923077
1369,2.076923076923077
1408,2.0543478260869565
1275,2.032258064516129
1264,1.9090909090909092
1393,1.9090909090909092
1325,1.8712871287128714
1396,1.8712871287128714
1263,1.8529411764705883
1349,1.8529411764705883
1294,1.8349514563106797
1301,1.8349514563106797
1326,1.8349514563106797
1376,1.8349514563106797
1257,1.7830188679245282
1332,1.7830188679245282
1350,1.7830188679245282
1356,1.766355140186916
1394,1.75
1282,1.7339449541284404
1359,1.7339449541284404
1252,1.7181818181818183
1259,1.7181818181818183
1266,1.7181818181818183
1278,1.7181818181818183
1279,1.7181818181818183
1295,1.7181818181818183
1302,1.7181818181818183
1303,1.7181818181818183
1334,1.7181818181818183
1346,1.7181818181818183
1289,1.7027027027027026
1310,1.7027027027027026
1357,1.7027027027027026
1253,1.6875
1277,1.6875
1327,1.6725663716814159
1269,1.6578947368421053
1276,1.6578947368421053
1251,1.6434782608695653
1410,1.6293103448275863
1404,1.56198347107438
1290,1.4765625
1405,1.4765625
1397,1.4651162790697674
1245,1.4427480916030535
1283,1.3695652173913044
1335,1.3695652173913044
1247,0
1248,0
1249,0
1250,0
1255,0
1258,0
1262,0
1265,0
1270,0
1271,0
1273,0
1281,0
1284,0
1285,0
1286,0
1287,0
1291,0
1292,0
1296,0
1297,0
1298,0
1305,0
1307,0
1308,0
1309,0
1311,0
1312,0
1313,0
1314,0
1316,0
1317,0
1318,0
1320,0
1321,0
1322,0
1324,0
1331,0
1333,0
1336,0
1338,0
1339,0
1340,0
1342,0
1343,0
1344,0
1345,0
1347,0
1352,0
1353,0
1354,0
1355,0
1358,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1379,0
1380,0
1381,0
1382,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1395,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1406,0
1409,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
