"""node.uID""","""node.departmanName""","""node.ustdepartmanName""","""score"""
1296,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",1.1817385000000002
1170,"""IT Departmanı ""","""Aristo A.Ş""",0.9857625000000002
1149,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,0.885981
1167,"""IT Departmanı ""","""Aristo A.Ş""",0.7452209999999999
1103,"""Tasarım Departmanı""","""Aristo A.Ş""",0.7386589999999997
40,"""IT Departmanı ""","""Aristo A.Ş""",0.6893165000000001
1172,"""IT Departmanı ""","""Aristo A.Ş""",0.6228040000000001
1178,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.46835050000000006
1225,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",0.45687550000000005
1260,"""IT Departmanı ""","""Aristo A.Ş""",0.39073699999999995
1175,"""B2C Departmanı""","""Aristo A.Ş""",0.3449135
1202,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.3291545000000001
1188,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.32886550000000003
1174,"""B2C Departmanı""","""Aristo A.Ş""",0.3123670000000001
1217,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.3048445
1241,"""Tasarım Departmanı""","""Aristo A.Ş""",0.3043685
1156,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.2792425
1173,"""IT Departmanı ""","""Aristo A.Ş""",0.2750265
1201,"""On-Net A.Ş""","""Biggplus Grup""",0.26529400000000003
1163,"""satış""","""On-Net A.Ş""",0.2652005
1266,"""IT Departmanı ""","""Aristo A.Ş""",0.264529
1187,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.2583495
1205,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",0.25142200000000003
1184,"""Biggplus Grup""","""""",0.24395050000000001
1186,"""B2C Departmanı""","""Aristo A.Ş""",0.23685300000000004
1171,"""IT Departmanı ""","""Aristo A.Ş""",0.23611349999999998
1467,"""IT Departmanı ""","""Aristo A.Ş""",0.23389500000000002
1267,"""IT Departmanı ""","""Aristo A.Ş""",0.22903300000000001
1166,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.2263215
1317,"""satış""","""On-Net A.Ş""",0.225973
1180,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.223304
1098,"""Biggplus Grup""","""""",0.22117050000000005
1235,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.218102
1155,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.21793200000000004
1168,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",0.21744750000000004
1264,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.21546700000000002
1162,"""satış""","""On-Net A.Ş""",0.212543
1262,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.20746000000000006
1268,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.20702650000000006
1270,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.20653350000000006
1226,"""Galata-1 Mağazası""","""BTM Mağazalar""",0.20448500000000003
1223,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.19923200000000005
1324,"""B2C Departmanı""","""Aristo A.Ş""",0.1975065
1179,"""Tasarım Departmanı""","""Aristo A.Ş""",0.19498200000000002
1227,"""Galata-1 Mağazası""","""BTM Mağazalar""",0.19450600000000004
1257,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.19131850000000003
1221,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,0.19108050000000004
1256,"""Biggplus Grup""","""""",0.188726
1244,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18810550000000004
1401,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",0.1866605
1220,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,0.18575950000000005
1219,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.18565750000000006
1251,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18502000000000002
1212,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18338800000000002
1252,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18337100000000003
1183,"""On-Net A.Ş""","""Biggplus Grup""",0.18306500000000003
1245,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18221500000000004
1253,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18221500000000004
1278,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,0.1817815
1417,"""Tasarım Departmanı""","""Aristo A.Ş""",0.18021750000000003
1213,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.18007300000000004
1214,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17997100000000002
1250,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.179461
1248,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17890000000000006
1255,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17890000000000006
1169,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.17791400000000004
1218,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17782900000000004
1243,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17772700000000005
1414,"""B2C Departmanı""","""Aristo A.Ş""",0.17771
1437,"""IT Departmanı ""","""Aristo A.Ş""",0.17743800000000007
